l_id,v_id_1,v_id_2,color
33346,9984,9968,k-
4654,3261,29607,k-
25492,19409,19410,k-
5005,24775,28226,k-
31610,3290,8169,k-
30495,5613,7059,k-
7814,1876,29294,k-
33717,10339,10351,k-
8331,2830,20301,k-
40503,18129,1036,k-
30295,6839,6842,k-
1681,28563,30344,k-
9321,3364,20763,k-
40047,3335,17651,k-
27649,414,3756,k-
18251,24767,24770,k-
22554,15596,26815,k-
28706,5012,5015,k-
27359,28410,3470,k-
10667,4236,21392,k-
10744,21435,21436,k-
7798,3997,29285,k-
39302,16749,16750,k-
32028,8524,8534,k-
34893,5751,11949,k-
12175,18566,18567,k-
7016,2754,28968,r-
28697,21790,5002,k-
42345,2876,2904,k-
30928,7483,7485,k-
18007,8916,24667,k-
16398,23933,23938,k-
31853,3733,8363,r-
42515,6076,3085,k-
452,20123,29831,k-
12444,5881,22184,k-
29929,6426,6435,k-
35261,12449,12451,k-
18109,11575,24713,k-
7244,10838,29068,k-
12165,21090,22054,k-
18606,12069,24919,k-
19623,25400,25401,k-
21074,26062,26103,k-
8572,20420,20419,r-
20915,19127,19154,k-
36711,9051,14133,k-
30800,7354,7356,k-
5433,28441,28442,k-
16195,23836,23838,k-
38392,693,15795,k-
30099,3174,6629,k-
3726,11554,31193,k-
6805,5812,28876,k-
36825,20525,311,k-
33370,23840,9965,k-
41691,29811,2276,k-
33102,9682,9683,r-
41911,2468,2475,k-
12312,5943,22113,k-
8892,18282,18283,k-
9623,7039,20894,k-
3305,10542,31028,k-
35539,12735,12787,k-
42151,20454,2728,k-
7201,7225,29048,k-
14412,8052,23039,k-
41331,1875,1876,k-
33510,9250,10114,k-
38474,8030,15887,k-
26687,1172,19967,k-
41709,2284,2291,r-
7058,6687,28990,k-
26198,18153,18152,k-
27612,21016,3726,k-
12658,22288,22289,k-
18262,24774,24776,k-
18171,4385,24739,k-
33554,16116,10163,k-
17256,18480,24340,k-
31809,1069,8325,k-
25811,874,19555,k-
22946,15747,27015,k-
29160,5507,5513,k-
8489,29519,20384,k-
7678,19214,29237,k-
15148,9019,23394,k-
12812,6411,18613,k-
14503,23078,23080,k-
4415,19556,29535,k-
20069,17843,25641,k-
7472,127,29161,r-
17386,18538,18963,k-
41669,30332,2248,k-
16408,23944,23945,k-
40036,31056,17642,k-
18019,2642,24674,k-
27749,270,3851,k-
13139,6452,22446,k-
15449,30480,23535,k-
20273,16351,19095,k-
8766,20497,20498,k-
8530,20401,20403,k-
36703,30982,14128,k-
31405,17363,7950,k-
8789,2896,20511,k-
19733,25397,25465,k-
42234,706,2820,k-
20079,25681,25647,k-
32784,9327,9330,k-
42222,8563,2801,k-
26741,3613,19992,k-
23867,11100,19284,k-
16071,9456,23780,k-
681,6175,29929,k-
7083,23785,28652,k-
36905,9211,14314,k-
13800,7497,22750,k-
29443,8447,5835,r-
36636,13850,14046,k-
1982,23458,30475,k-
17637,4141,18983,k-
31896,8393,8396,k-
32961,23615,9527,k-
28528,30733,4821,k-
15016,23332,23333,k-
10636,33,21376,r-
17361,24374,24384,k-
31656,3223,8200,k-
33844,1734,10491,k-
9453,17870,20823,k-
10651,21364,21384,k-
17808,24583,24584,k-
33578,31020,10183,k-
33156,3767,9753,k-
42177,106,2754,r-
23194,27116,27115,k-
13785,7476,22740,k-
33265,29000,9882,k-
42362,2916,2918,k-
31904,8408,8407,k-
7979,682,29353,k-
11040,21575,21576,k-
41501,2056,2057,k-
3854,4563,31243,k-
29398,2741,5789,k-
15774,23644,23645,r-
14712,8509,23174,k-
30097,19672,6627,k-
7429,648,29147,k-
16286,10090,23887,k-
23082,31114,27068,k-
2296,25643,30612,k-
