l_id,v_id_1,v_id_2,voltage,cables,length_m
11543,21790,21791,230000.0,3.0,277.6073352
11541,18776,21789,345000.0,3.0,8001.428445
11546,2028,21793,230000.0,3.0,19297.00259
11544,5002,21792,nan,3.0,1666.805132
11548,21790,21793,230000.0,3.0,1759.185065
11549,21791,21794,230000.0,3.0,1299.315856
5988,5873,28599,nan,3.0,3848.918426
5989,5973,28602,nan,3.0,10440.51113
5982,5811,28596,345000.0,6.0,21.85339907
5981,5810,28596,345000.0,18.0,16105.46036
5987,28617,28597,765000.0,3.0,117860.1067
5984,22122,28596,345000.0,3.0,712.8259116
19973,12262,25586,315000.0,3.0,13.85437036
19972,23130,25586,315000.0,36.0,20136.93503
19971,25585,25586,315000.0,6.0,116.1326614
19970,20853,25585,315000.0,6.0,11222.18481
275,1327,29753,nan,3.0,19619.0215
19979,25444,25588,nan,3.0,717.0380496
19978,25445,25587,nan,3.0,357.7437438
12015,22000,22001,345000.0,6.0,2157.96542
12011,5461,21999,345000.0,3.0,13044.50064
12013,21999,22001,345000.0,6.0,3169.592991
17259,7045,24341,nan,6.0,1610.061867
17254,10832,24339,nan,3.0,31.94692548
17255,24339,24340,nan,3.0,18837.90536
17256,18480,24340,nan,9.0,20829.34143
17257,10831,24340,nan,3.0,36.49088249
10708,21411,21412,nan,3.0,792.5958888
9256,3335,20728,nan,6.0,8126.899854
10707,4278,21412,nan,3.0,2496.251187
10706,4277,21412,nan,3.0,2315.505345
10705,4280,21411,nan,3.0,13.33495915
21615,987,26361,345000.0,6.0,42.72962682
21614,19427,26361,345000.0,3.0,820.3373032
13058,18603,18670,nan,3.0,20223.14789
13059,18629,18671,nan,3.0,10669.44288
13056,13640,18668,nan,3.0,36300.72113
13057,18515,18669,765000.0,3.0,30794.58707
13054,18673,18668,nan,3.0,8552.765941
13055,18678,18668,nan,3.0,15401.97715
20252,172,19093,nan,6.0,159.3280809
20250,6433,19093,230000.0,6.0,54011.59036
40964,1862,1482,220000.0,6.0,7555.113598
40962,31198,1481,nan,12.0,3332.038457
29768,6206,6207,765000.0,3.0,24190.8552
40960,1740,1478,220000.0,6.0,8407.147591
29767,18570,6206,765000.0,3.0,37462.84509
29766,18547,6206,765000.0,3.0,61333.05753
1177,4385,30135,nan,3.0,2746.019594
1176,18889,30134,345000.0,3.0,7793.581144
1175,6209,30134,nan,3.0,9054.921216
1174,518,30134,345000.0,3.0,40.41933841
23508,27055,27268,230000.0,3.0,192.3091367
23507,27266,27267,230000.0,3.0,82.85834515
23506,16267,27267,230000.0,3.0,2014.870675
23505,16400,27267,230000.0,3.0,63.04239607
23504,16265,27266,230000.0,3.0,3440.721555
23503,16400,27266,230000.0,3.0,60.49261987
1178,30130,30135,nan,3.0,13497.06965
27619,21014,3730,nan,3.0,14355.71484
27617,3728,3729,230000.0,6.0,52773.869
27616,3709,3710,345000.0,3.0,19992.80991
27615,13919,3710,nan,3.0,4349.041657
27614,4607,3707,nan,3.0,2051.000309
27613,3710,3716,nan,3.0,71942.71208
27612,21016,3726,230000.0,12.0,1447.576842
27611,3716,3724,345000.0,3.0,21326.91928
27610,3723,3724,345000.0,3.0,21735.4369
12833,6243,22353,nan,3.0,40.7315065
12832,4948,22353,nan,3.0,3645.472569
12831,22337,22352,nan,3.0,15650.14351
12830,17720,22351,nan,3.0,77.96984222
12837,22354,22355,nan,3.0,120.789917
12836,6243,22355,nan,3.0,123.925791
12835,22353,22354,nan,3.0,76.62611264
12834,6243,22354,nan,3.0,17.9444324
12838,20207,22355,nan,3.0,1656.894564
8541,20408,20409,345000.0,3.0,194.3232899
8540,2677,20408,345000.0,6.0,13663.87339
8543,2675,20409,345000.0,3.0,11408.80417
8542,2672,20409,345000.0,9.0,1575.399785
22678,17529,26865,nan,3.0,1577.428566
22676,17529,26864,nan,3.0,492.4549106
22677,26864,26865,nan,3.0,895.9714343
22674,17529,26863,nan,3.0,512.0409514
22675,26863,26864,nan,3.0,18.86343928
22672,323,19224,230000.0,3.0,37.81226983
22673,324,19224,230000.0,3.0,9807.308979
22670,325,19223,230000.0,3.0,1402.762751
22671,322,19224,230000.0,3.0,11279.50937
26564,19905,19906,230000.0,6.0,550.0264353
26562,19902,19906,230000.0,9.0,515.7650479
26560,19904,19903,230000.0,9.0,962.5526244
26561,19560,19905,230000.0,9.0,1716.943947
15550,19460,23575,345000.0,6.0,16154.47227
393,21579,29805,23000.0,3.0,159.4245158
392,4563,29805,230000.0,3.0,26296.00275
391,22302,29804,nan,3.0,1209.745907
390,22299,29804,nan,3.0,160.3293361
397,21597,29807,400000.0,15.0,15353.19659
396,28511,29806,230000.0,3.0,159046.4403
395,21579,29806,23000.0,3.0,181.7222959
394,29805,29806,230000.0,3.0,19.96973692
399,28517,29807,nan,18.0,7896.207151
