l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
36040,13322,13394,230000,6;3;3,1,60,,,,8088.92197,,,,,,"SRID=4326;LINESTRING(-99.24352997596 19.2906424386843,-99.1715354102171 19.2598226173141)"
10570,5366,18391,,3,1,60,,,,31590.93548,,,,,,"SRID=4326;LINESTRING(-88.6532774661628 33.6356934310786,-88.3554827632603 33.650708663621)"
12952,16909,18633,,3,1,60,,,,3978.620211,,,,,,"SRID=4326;LINESTRING(-88.2401665213656 37.1061274858299,-88.282623913995 37.0930230166821)"
11669,21844,21845,345000,3,1,60,West Medway - West Walpole 345kV transmission line,,389,46.95605055,,,,,,"SRID=4326;LINESTRING(-71.2814750000587 42.1297525744322,-71.2808923527655 42.1297976771994)"
12821,6227,22348,,3,1,60,,,,20368.00472,,,,,,"SRID=4326;LINESTRING(-121.160329953608 38.1178208971966,-121.140182944628 37.9504781749696)"
37167,14527,14530,138000,3,1,60,,FPL,,5923.089636,,,,,,"SRID=4326;LINESTRING(-80.2208421777124 26.3918726692979,-80.219746472126 26.3367616320416)"
24794,27842,27847,,3,1,60,,,,882.7808523,,,,,,"SRID=4326;LINESTRING(-119.537768140816 39.568143290721,-119.546439488422 39.5638551705466)"
7195,7383,29044,230000,3,1,60,,,,22815.40342,,,,,,"SRID=4326;LINESTRING(-84.4889302531813 30.8396297742137,-84.697045216157 30.7410085574623)"
42207,20477,2794,500000,3,1,60,,Bonneville Power Administration,Grizzly - Captain Jack,93576.60229,,,,,,"SRID=4326;LINESTRING(-121.358864595312 42.0839457073507,-120.987467847555 42.853471492003)"
4515,2115,29564,230000,3,1,60,230 kV transmission Line,,,18151.86283,,,,,,"SRID=4326;LINESTRING(-78.8128052640685 38.2660570001899,-78.8497466805997 38.1066970838077)"
27954,26593,4090,,3,1,60,,,,4731.336771,,,,,,"SRID=4326;LINESTRING(-99.1295913353817 19.3767782760586,-99.0929973487811 19.3812534698555)"
1906,7888,30439,230000;230000;115000;115000,3;6;3,1,60,,,,6984.823026,,,,,,"SRID=4326;LINESTRING(-117.355936738241 46.8860521741332,-117.286528069474 46.8633654940669)"
6619,18013,28801,345000,3,1,60,,,,96162.21549,,,,,,"SRID=4326;LINESTRING(-94.2252148770501 44.1541334194081,-95.1431926945356 43.6702216120175)"
5344,12204,28422,230000,3,1,60,,,,4.91011406,,,,,,"SRID=4326;LINESTRING(-80.2464862134398 27.3486330747803,-80.2492403174042 27.3467023480636)"
10250,3972,21214,500000,3,1,60,500kV transmission line,TVA,,3200.353336,,,,,,"SRID=4326;LINESTRING(-86.8467920273917 36.4926315894788,-86.8531747774057 36.4645431630884)"
15702,30738,23624,230000,3,2,60,,,Los Esteros-Newark,641.5271635,,,,,,"SRID=4326;LINESTRING(-121.966058907059 37.5057710424973,-121.9660383213 37.505550491086)"
29908,2415,6402,230000;230000;115000;230000;115000,3;6;3;6;6,1,60,,,,5169.945808,,,,,,"SRID=4326;LINESTRING(-77.6590629227845 36.4459926602926,-77.6668121081393 36.3989146531569)"
23408,14531,27220,138000,3,1,60,,Florida Power & Light,,3495.612683,,,,,,"SRID=4326;LINESTRING(-80.2172855367499 26.2592426823558,-80.2202706494916 26.2290684926199)"
32600,9139,9138,,3,1,60,,,,13555.33856,,,,,,"SRID=4326;LINESTRING(-112.162211702832 43.4679563203023,-112.220415191025 43.5549087684842)"
7205,179,29050,345000,3;6,1,60,345kV transmission line,,,40796.65037,,,,,,"SRID=4326;LINESTRING(-88.2253788006448 41.2447489886979,-88.6675083613522 41.244726431089)"
9853,3686,21003,345000,3,1,60,Bixby - Kirk 345kV transmission line,AEP,,1060.899502,,,,,,"SRID=4326;LINESTRING(-82.6481498189045 39.9912484325824,-82.654832989552 39.9844888678516)"
22552,15714,26814,,3,1,60,,,,601.0143161,,,,,,"SRID=4326;LINESTRING(-101.473974461394 36.7107414933438,-101.474514206838 36.704253054642)"
26699,1713,17698,,3,1,60,,,,3135.666679,,,,,,"SRID=4326;LINESTRING(-77.5946217353863 44.1310722784509,-77.6197036873448 44.1095256904328)"
32454,8983,8984,230000,3,1,60,,,,17228.26752,,,,,,"SRID=4326;LINESTRING(-84.0006225010016 33.7490554375645,-83.8823735802807 33.8681661222676)"
7057,23578,28989,230000,3,1,60,,,,38180.33165,,,,,,"SRID=4326;LINESTRING(-94.0393880299042 45.6022663576367,-93.6392308965367 45.7555649598373)"
12387,22154,22155,,9,2,60,,,,169.0653584,,,,,,"SRID=4326;LINESTRING(-115.116879610936 36.0026033870452,-115.118772720566 36.0025991720208)"
18013,24649,24670,,3,1,60,,,,9529.660431,,,,,,"SRID=4326;LINESTRING(-82.1335013737995 42.4197157107888,-82.0180955279009 42.4268801186174)"
27508,23528,3617,345000,3;6,1,60,,,,52469.48623,,,,,,"SRID=4326;LINESTRING(-87.5845380761401 41.4323552083119,-87.9108632927141 41.2098223375156)"
41987,2506,2550,,3,1,60,,,,5247.909974,,,,,,"SRID=4326;LINESTRING(-75.3584507970837 40.1144123074636,-75.4201700474037 40.1147003000685)"
31235,4014,7803,115000;345000;345000;345000;345000,3,1,60,,,,570.1299626,,,,,,"SRID=4326;LINESTRING(-75.2272075695504 43.1573988935792,-75.2246449158111 43.1530532079417)"
914,1518,30030,,3,1,60,,,,1066.388402,,,,,,"SRID=4326;LINESTRING(-76.6064860666595 38.9398878468496,-76.6081084253098 38.9499382499194)"
12187,2051,22061,345000,3,1,60,Surowiec - Maine Yankee 345kV transmission line,Central Maine Power Company,377,29944.5132,,,,,,"SRID=4326;LINESTRING(-70.2036871666243 43.9316499169483,-69.8616514914019 44.0074563941092)"
5773,4797,28535,230000,3,1,60,,,,109.1832628,,,,,,"SRID=4326;LINESTRING(-97.1133121964082 47.9061109598134,-97.1079580090607 47.9069504505773)"
18625,6600,19051,,3,1,60,,,,15.20861912,,,,,,"SRID=4326;LINESTRING(-88.9689189445832 38.3334134903466,-88.9668029329364 38.3336740097635)"
32700,2461,9244,345000,3,1,60,,AEP,,32282.33141,,,,,,"SRID=4326;LINESTRING(-86.4837725310842 41.7066236993353,-86.4909564478692 41.9740279799071)"
35706,12523,13004,115000,3,1,60,,,,88534.66794,,,,,,"SRID=4326;LINESTRING(-109.005358987977 44.4024008688527,-108.3380854652 44.7921393496538)"
22865,19231,19232,230000,6,1,60,,WAPA,,312.5797851,,,,,,"SRID=4326;LINESTRING(-121.4250132989 38.5850138863627,-121.428411176462 38.5859601626222)"
8390,2470,20332,345000,3,1,60,,,,10361.62133,,,,,,"SRID=4326;LINESTRING(-87.0289813603033 41.6565392856973,-86.9253409357555 41.7071581951668)"
1717,30358,30359,345000,3,1,60,,PNM,NB,26104.82066,,,,,,"SRID=4326;LINESTRING(-106.376459360897 35.3603564454943,-106.230273371182 35.5289005965736)"
10682,4256,21401,,3,1,60,,,,22214.32581,,,,,,"SRID=4326;LINESTRING(-108.824689312399 25.7660492295686,-108.6333323466 25.6654642618212)"
29900,6382,6384,,3,1,60,,,,2063.222202,,,,,,"SRID=4326;LINESTRING(-79.3136942299068 36.6046440259838,-79.3382976761737 36.6025391613605)"
25769,19532,19531,230000,3,1,60,,,,567.4664246,,,,,,"SRID=4326;LINESTRING(-122.197076388549 47.2375169841247,-122.19707351394 47.2426325697594)"
2730,2830,30796,500000,3,1,60,,,Wautoma - Ostrander,49680.4741,,,,,,"SRID=4326;LINESTRING(-122.407125736776 45.3609629565728,-121.942332748617 45.6333079769953)"
14793,8640,23216,,3,1,60,,,,895.9264352,,,,,,"SRID=4326;LINESTRING(-93.8811087347178 45.3806607096095,-93.8710814749021 45.3792139595455)"
5703,769,28515,500000,3,1,60,,Hydro One,E511V,345.464051,,,,,,"SRID=4326;LINESTRING(-79.6152394761002 43.7715664481602,-79.6134698142819 43.7646751945549)"
13193,6511,22471,,3;6,1,60,,,,1333.587211,,,,,,"SRID=4326;LINESTRING(-96.8771071645016 37.8080869923755,-96.890893437789 37.8152488016156)"
29493,29880,5883,,3,1,60,,,,12318.00215,,,,,,"SRID=4326;LINESTRING(-77.8898701622072 43.1639943514292,-77.7423866914624 43.1460297707917)"
27659,3205,3767,230000,3,1,60,,,,79319.27703,,,,,,"SRID=4326;LINESTRING(-97.3525383477735 49.8039798126559,-97.3120115990316 49.1343865515289)"
4602,2573,29592,,3,1,60,,,,273.7437125,,,,,,"SRID=4326;LINESTRING(-119.513321768805 39.5600115549471,-119.520203050184 39.56345776595)"
41470,2027,2028,115000,3,1,60,,,,139.2462939,,,,,,"SRID=4326;LINESTRING(-71.2423156946496 42.6227847155334,-71.2466592278193 42.6238613234927)"
16172,9876,18868,,3,1,60,,,,4449.379027,,,,,,"SRID=4326;LINESTRING(-78.1094424607124 35.1870085711385,-78.0828518713025 35.2205159701228)"
18507,6790,24876,230000,6;3;3,1,60,,Flordia Power and Light,,3442.953868,,,,,,"SRID=4326;LINESTRING(-81.7688183864897 26.6729474696482,-81.7756671821756 26.6990297274313)"
21536,28544,26318,,8,1,60,,,,8774.594655,,,,,,"SRID=4326;LINESTRING(-105.017973960659 39.7363296925592,-105.119573639903 39.7329486841598)"
37172,19257,364,,3,1,60,,,,8780.468418,,,,,,"SRID=4326;LINESTRING(-122.499133106203 38.0065672741815,-122.540361292178 38.0767756400956)"
22660,26175,26862,,3,1,60,,,,9617.613632,,,,,,"SRID=4326;LINESTRING(-101.996284380112 36.7621031004477,-102.10401250494 36.7622579002315)"
34076,24339,10830,,3,1,60,,,,25087.36636,,,,,,"SRID=4326;LINESTRING(-96.3911754674355 36.7695794075779,-96.6561114068172 36.7639351656159)"
32601,9107,9138,,3,1,60,,,,17588.14321,,,,,,"SRID=4326;LINESTRING(-112.220799153071 43.7147526359922,-112.220415191025 43.5549087684842)"
32295,8807,8817,230000;69000,3,1,60,,,,3973.989106,,,,,,"SRID=4326;LINESTRING(-83.2102333573732 30.7646960907792,-83.2179833212049 30.7283636403613)"
1629,28968,30322,500000,3,2,60,Path 15,Pacific Gas and Electric,Diablo Canyon - Midway,21435.27661,,,,,,"SRID=4326;LINESTRING(-119.452247780269 35.4030708371503,-119.668636702924 35.33960247202)"
29860,9757,6320,230000,3;6;6;3;3,1,60,,,,6346.650138,,,,,,"SRID=4326;LINESTRING(-76.9919508312004 41.168618022951,-77.0175454539406 41.2217080217883)"
39566,27737,17056,,3,1,60,,,,16029.62215,,,,,,"SRID=4326;LINESTRING(-92.477966047452 39.2848343974078,-92.2993398506398 39.246791649819)"
21909,14892,26510,,3,1,60,,,,64.71966365,,,,,,"SRID=4326;LINESTRING(-97.5746972096429 35.4098718467981,-97.5764730200898 35.4091566963824)"
30967,22771,7512,138000;230000;230000;138000,3;6,1,60,,JEA,,1407.755233,,,,,,"SRID=4326;LINESTRING(-81.5370514661791 30.4093327210607,-81.5497784203959 30.4182619367947)"
34793,24790,11801,,3,1,60,,,,195.5674718,,,,,,"SRID=4326;LINESTRING(-83.8415232902229 43.6373699197755,-83.8434249419378 43.6399399262792)"
34070,10817,10818,,3,1,60,,,,13262.76907,,,,,,"SRID=4326;LINESTRING(-95.449549019403 37.1567771523588,-95.6009422892819 37.1603041475212)"
6019,6128,28614,115000,3,1,60,,,,1808.500053,,,,,,"SRID=4326;LINESTRING(-77.2232706640228 42.963324953257,-77.2464748638712 42.9663158663437)"
15274,26065,23449,345000,3,1,60,,,,22903.964,,,,,,"SRID=4326;LINESTRING(-89.4559082065233 41.8483615843573,-89.2814013895988 41.9591036074648)"
3562,1227,31130,345000,3,1,60,,,Ross - McNary,2946.624647,,,,,,"SRID=4326;LINESTRING(-119.313328812651 45.9240155626539,-119.331593732889 45.9400983812903)"
17887,24615,24616,,3,1,60,,,,80.09036431,,,,,,"SRID=4326;LINESTRING(-75.9001597095927 44.7857838763676,-75.9007738877525 44.7863726103724)"
33377,4541,9993,115000,3,1,60,,,,7364.761632,,,,,,"SRID=4326;LINESTRING(-81.1751900786485 32.3520934799212,-81.1224774944474 32.3686292372724)"
15092,23365,23366,345000,3,1,60,,,,632.4792742,,,,,,"SRID=4326;LINESTRING(-83.0053909172061 42.7157369671915,-83.0062715356791 42.721398868414)"
26097,1190,19689,,3,1,60,,,,9809.461117,,,,,,"SRID=4326;LINESTRING(-76.6250987385704 44.3636851909565,-76.6467989495651 44.2755112588054)"
14863,8712,23254,230000,3,1,60,,,,7703.56836,,,,,,"SRID=4326;LINESTRING(-111.99513029811 32.9603230385099,-111.996271373111 33.0312261019256)"
12011,5461,21999,345000,3,1,60,Millstone - Haddam - Beseck 345kV transmission line,CL&P,348,13044.50064,,,,,,"SRID=4326;LINESTRING(-72.477412981103 41.4608940132587,-72.6283939352023 41.4871424937686)"
31282,5452,7839,230000,3,1,60,,,,41074.37188,,,,,,"SRID=4326;LINESTRING(-118.379610838302 46.0701473882581,-118.846125016288 46.0638144178994)"
6683,8309,28829,230000,3,1,60,West Hill - Osage 230kV,,,91524.47133,,,,,,"SRID=4326;LINESTRING(-103.684184199715 43.444743650722,-104.411091045717 43.9715729703043)"
39119,16548,16549,230000,6,1,60,,,,5246.64282,,,,,,"SRID=4326;LINESTRING(-99.0114027556409 19.6306622951148,-99.057269941785 19.6107363932577)"
14529,8353,23090,,3,1,60,,,,953.037487,,,,,,"SRID=4326;LINESTRING(-84.7686326814262 42.246099359801,-84.7665275214336 42.2543135923981)"
14196,2068,18734,,3,1,60,,,,1082.557388,,,,,,"SRID=4326;LINESTRING(-85.4382910634938 38.7417446251383,-85.4297608822213 38.7387230215029)"
9091,5045,20631,240000,6,1,60,,,,486.6377747,,,,,,"SRID=4326;LINESTRING(-113.481390740811 53.4565759854462,-113.476434809234 53.4614345734385)"
38680,27621,16101,230000,3,1,60,,,,123265.6087,,,,,,"SRID=4326;LINESTRING(-90.3546472259624 19.7424985081953,-89.5693054810873 20.4067294077947)"
16472,10296,23974,,3,1,60,,,,501.4826192,,,,,,"SRID=4326;LINESTRING(-83.223650626789 42.1332262769164,-83.2221640072377 42.1285940152401)"
28921,5255,5256,230000;115000;230000;230000;115000;115000,6;3;3;3;3,1,60,,,,8990.944463,,,,,,"SRID=4326;LINESTRING(-90.0144986563998 32.2828651125885,-89.9644607249654 32.2884456412202)"
18171,4385,24739,,3,1,60,,,,11839.07549,,,,,,"SRID=4326;LINESTRING(-82.4669866682 42.7972056480089,-82.426627310394 42.8770421120956)"
19383,25387,25294,,3,1,60,,,,14266.82418,,,,,,"SRID=4326;LINESTRING(-88.1195414216962 45.0957038946878,-88.1192591710339 45.1031105841992)"
30864,6055,7421,230000,3,1,60,,,,43264.18872,,,,,,"SRID=4326;LINESTRING(-79.3812192278051 42.4360882450156,-79.7599866634564 42.1965690698999)"
33843,1723,10491,345000,3;6,1,60,,,,13150.60677,,,,,,"SRID=4326;LINESTRING(-73.858070400934 40.9394142494805,-73.8090262678075 41.0499849055755)"
11655,13653,21840,230000,3,1,60,,,,2346.364965,,,,,,"SRID=4326;LINESTRING(-111.918386869662 33.4506352329243,-111.941262946856 33.4473994146979)"
10129,13642,21149,161000;500000;161000,3,1,60,,TVA,,561.032929,,,,,,"SRID=4326;LINESTRING(-88.8340447582737 36.2750631010998,-88.8256899985522 36.275855114126)"
25805,19548,19551,230000;69000,6;3,1,60,,Progress Energy,,399.3355657,,,,,,"SRID=4326;LINESTRING(-81.4508368245956 28.4769663276777,-81.4538194110019 28.4744860008765)"
